性別,年齡,BMI,拳擊,器材,有氧,舞蹈,高強度間歇,瑜伽,肌力訓練,燃脂,減脂瘦身,增加肌肉,增強體魄,舒緩壓力,推薦類型
0.0,35.0,-29.21093374074944,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0000
0.0,58.0,-21.02490730249452,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,柔軟度
1.0,2295.0,17.3010380622837,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,肌耐力
1.0,45.0,20.25993884237893,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,心肺
0.0,900.0,0.0,0.0,-5.0,0.0,-4.0,1.0,0.0,1.0,-4.0,0.0,0.0,1.0,1.0,柔軟度
0.0,3373.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0000
1.0,2496.0,22.79089954266094,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,error
0.0,35.0,-18.40665391185034,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,肌力
0.0,26.0,16.358024691358,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,柔軟度
0.0,1420.0,19.60429959285521,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,肌力
1.0,2748.0,14.532508327435654,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,肌耐力
0.0,2486.0,0.0,-2.0,-4.0,0.0,1.0,-3.0,1.0,1.0,-3.0,-4.0,1.0,-3.0,0.0,柔軟度
1.0,1180.0,19.8791026005112,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,心肺
1.0,44.0,-23.77589283154378,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,錯誤
1.0,46.0,-22.4913494809689,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,柔軟度
0.0,25.0,-19.77913001326673,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,心肺
1.0,44.0,25.10012798620221,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,柔軟度
1.0,46.0,23.527708196006994,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,肌力
1.0,50.0,-24.213165905392657,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,錯誤
1.0,47.0,-22.124656686056504,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,肌耐力
1.0,1991.0,0.0,1.0,-4.0,0.0,-3.0,-2.0,0.0,1.0,1.0,-3.0,0.0,0.0,0.0,柔軟度
0.0,1690.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-4.0,1.0,0.0,1.0,柔軟度
0.0,33.0,-17.870828380387387,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,肌耐力
1.0,46.0,-15.305350367408266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,肌耐力
1.0,28.0,18.857219256025733,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,柔軟度
1.0,19.0,-18.246050048718182,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,柔軟度
1.0,47.0,-31.73091977062861,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,錯誤
1.0,3922.0,21.93564107081951,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,肌力
0.0,391.0,0.0,0.0,1.0,0.0,1.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,-4.0,心肺
1.0,1348.0,21.875,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,肌力
1.0,42.0,-25.250532212542844,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,肌耐力
1.0,42.0,-18.972314923097606,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,心肺
1.0,3408.0,13.67936872857672,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,柔軟度
1.0,35.0,22.67402342952705,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,心肺
0.0,2227.0,0.0,0.0,1.0,-4.0,1.0,0.0,0.0,0.0,0.0,1.0,-5.0,-4.0,1.0,心肺
0.0,3129.0,22.4913494809689,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,肌耐力
1.0,25.0,-26.089506223842392,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,心肺
0.0,38.0,-21.288986536489986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,肌力
1.0,12.0,17.3010380622837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,心肺
1.0,4004.0,0.0,0.0,-4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,肌耐力
0.0,3619.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-3.0,1.0,肌耐力
0.0,1540.0,0.0,0.0,0.0,0.0,1.0,-4.0,-4.0,0.0,-4.0,1.0,-4.0,0.0,1.0,心肺
1.0,780.0,0.0,1.0,1.0,-4.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,肌力
1.0,46.0,-28.22296310768188,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,error
1.0,1776.0,23.8751147842057,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,心肺
1.0,29.0,16.160408422342556,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,心肺
1.0,1580.0,0.0,1.0,1.0,-2.0,-5.0,1.0,1.0,-2.0,1.0,0.0,1.0,1.0,1.0,error
0.0,3333.0,0.0,0.0,0.0,1.0,-5.0,1.0,1.0,0.0,1.0,1.0,0.0,-2.0,1.0,心肺
0.0,2089.0,0.0,0.0,0.0,-5.0,-4.0,0.0,1.0,0.0,1.0,0.0,-4.0,1.0,1.0,柔軟度
1.0,46.0,23.58189815441456,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,柔軟度
1.0,778.0,0.0,-2.0,1.0,1.0,-4.0,1.0,1.0,-3.0,-5.0,1.0,1.0,1.0,-2.0,肌耐力
1.0,11.0,-15.64946645415625,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,柔軟度
0.0,1213.0,0.0,1.0,1.0,1.0,-5.0,-4.0,1.0,-2.0,1.0,-5.0,0.0,-4.0,0.0,柔軟度
1.0,3137.0,0.0,0.0,1.0,-2.0,1.0,1.0,1.0,-5.0,1.0,0.0,1.0,1.0,1.0,肌耐力
1.0,2002.0,0.0,-5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,心肺
0.0,3369.0,21.280063704889095,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,肌力
1.0,1906.0,22.736051671106786,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,肌力
1.0,47.0,-16.286741061959642,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,柔軟度
1.0,3038.0,23.92051507111284,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,error
1.0,48.0,-22.83173341323374,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,肌耐力
1.0,3248.0,18.70065258875853,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,柔軟度
1.0,48.0,17.018127414644976,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,心肺
0.0,46.0,22.4913494809689,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,肌力
0.0,27.0,16.160693119233304,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,柔軟度
1.0,833.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-5.0,0.0,1.0,1.0,1.0,error
1.0,45.0,-16.73008596660367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,柔軟度
1.0,680.0,0.0,-5.0,1.0,1.0,1.0,1.0,1.0,-3.0,-5.0,1.0,0.0,0.0,1.0,錯誤
1.0,45.0,-13.718899739536068,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,錯誤
1.0,1921.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,-4.0,肌力
1.0,2906.0,0.0,0.0,-5.0,-2.0,1.0,1.0,1.0,0.0,1.0,-2.0,1.0,-4.0,1.0,0000
0.0,40.0,-33.89488293768038,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,error
0.0,36.0,-17.149150184952212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,肌力
1.0,46.0,25.29813396490951,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,心肺
1.0,42.0,19.782097812605272,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,柔軟度
1.0,801.0,17.222838197370912,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,肌耐力
1.0,42.0,-25.47976343014545,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0000
0.0,3513.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,-3.0,1.0,0.0,0.0,0.0,肌力
0.0,37.0,-23.923160112181872,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,肌耐力
1.0,3855.0,21.022648627485236,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,肌耐力
1.0,44.0,-20.68801243021665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,柔軟度
0.0,1102.0,22.58422647428002,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,error
0.0,3796.0,22.430645189762725,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,柔軟度
1.0,3085.0,0.0,-2.0,1.0,0.0,1.0,-4.0,0.0,-4.0,1.0,0.0,-3.0,1.0,1.0,肌耐力
1.0,52.0,-22.85325837557614,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,肌耐力
1.0,2727.0,25.399179854408565,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,肌耐力
1.0,431.0,0.0,-2.0,1.0,1.0,-3.0,1.0,-3.0,-4.0,1.0,0.0,1.0,0.0,1.0,柔軟度
1.0,761.0,21.7439756578805,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,肌耐力
1.0,3100.0,0.0,0.0,0.0,1.0,1.0,1.0,-4.0,0.0,1.0,1.0,1.0,1.0,1.0,肌耐力
0.0,3747.0,29.739223020356768,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,肌力
1.0,3415.0,22.4913494809689,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,肌耐力
0.0,24.0,-20.18170365801931,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,肌耐力
0.0,887.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-5.0,0.0,error
1.0,46.0,-23.75349917831861,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,柔軟度
1.0,696.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-5.0,-4.0,0.0,0.0,-2.0,1.0,柔軟度
1.0,24.0,23.8751147842057,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,柔軟度
1.0,48.0,23.223719786176986,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,肌力
1.0,23.0,-19.436771448473998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,柔軟度
1.0,46.0,23.626036228179828,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,肌力
0.0,28.0,-19.684711187098515,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,肌耐力
1.0,47.0,22.4913494809689,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,肌力
0.0,27.0,19.52301966408637,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,柔軟度
1.0,2339.0,0.0,0.0,1.0,1.0,1.0,-5.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,柔軟度
0.0,3746.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,心肺
1.0,2331.0,0.0,0.0,0.0,0.0,1.0,-3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,肌耐力
1.0,2297.0,23.122693567359185,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,錯誤
1.0,2392.0,22.4913494809689,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,肌耐力
1.0,2320.0,21.441681546004762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,柔軟度
1.0,46.0,-21.909358319072343,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,錯誤
1.0,27.0,22.43148789988453,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,心肺
1.0,44.0,-21.953898263965147,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,肌力
0.0,2414.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-2.0,1.0,1.0,-3.0,-5.0,柔軟度
1.0,3062.0,17.035188448112553,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,肌耐力
1.0,47.0,24.667343384579297,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,肌力
1.0,3231.0,0.0,1.0,-5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-3.0,1.0,1.0,柔軟度
1.0,32.0,-18.5409231297546,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,柔軟度
1.0,28.0,19.127335854906747,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,柔軟度
1.0,2551.0,0.0,0.0,0.0,1.0,1.0,1.0,-3.0,1.0,0.0,1.0,0.0,1.0,-2.0,error
0.0,3373.0,0.0,1.0,1.0,0.0,0.0,1.0,-4.0,0.0,1.0,-2.0,1.0,1.0,-3.0,錯誤
0.0,1513.0,22.4913494809689,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,柔軟度
1.0,615.0,0.0,0.0,-5.0,1.0,-4.0,0.0,0.0,1.0,0.0,-5.0,0.0,1.0,1.0,錯誤
0.0,31.0,-14.118004718624961,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,柔軟度
0.0,1595.0,0.0,0.0,0.0,-5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-5.0,柔軟度
1.0,884.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-3.0,0.0,0.0,1.0,-4.0,肌力
1.0,3088.0,23.15440512161922,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,柔軟度
1.0,3758.0,24.0569262898386,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,肌耐力
0.0,26.0,-21.44234692883216,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,錯誤
0.0,47.0,-25.883864783124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,柔軟度
0.0,724.0,0.0,-5.0,0.0,1.0,-2.0,-3.0,-3.0,0.0,1.0,1.0,0.0,0.0,1.0,肌力
0.0,44.0,-27.49744622927072,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,心肺
1.0,1366.0,0.0,0.0,0.0,1.0,0.0,-2.0,1.0,1.0,-4.0,0.0,1.0,1.0,0.0,肌耐力
1.0,3917.0,16.358024691358,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,肌力
0.0,1490.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-5.0,0.0,1.0,error
0.0,43.0,-20.974365027134745,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,error
1.0,45.0,-21.014998754803003,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,柔軟度
1.0,31.0,-17.989992810109342,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,柔軟度
0.0,1104.0,0.0,0.0,-2.0,-3.0,0.0,-5.0,1.0,0.0,1.0,0.0,-4.0,-3.0,0.0,心肺
0.0,44.0,-26.29308520711802,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,心肺
1.0,3517.0,22.4913494809689,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,error
1.0,2948.0,17.578125,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,肌耐力
0.0,2374.0,20.572470670619136,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,心肺
1.0,47.0,24.587822489708838,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,肌力
1.0,1648.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0000
1.0,47.0,-22.50489945769312,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,肌耐力
1.0,41.0,-8.018413824235429,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,肌力
1.0,2600.0,0.0,1.0,1.0,0.0,1.0,-2.0,-4.0,-2.0,0.0,0.0,0.0,-3.0,1.0,肌力
1.0,50.0,-20.319575583814867,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,肌耐力
0.0,43.0,-27.008504853744782,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,肌耐力
0.0,1171.0,26.32803270535059,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,心肺
1.0,2246.0,23.90502049608517,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,心肺
1.0,3444.0,0.0,1.0,0.0,-5.0,1.0,-2.0,1.0,1.0,0.0,0.0,-5.0,1.0,1.0,肌耐力
1.0,1185.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-2.0,1.0,柔軟度
0.0,297.0,0.0,0.0,0.0,0.0,1.0,-2.0,1.0,0.0,1.0,0.0,-5.0,0.0,-2.0,0000
1.0,47.0,-22.72440737551407,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,肌耐力
1.0,38.0,20.028841531805803,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,心肺
0.0,1406.0,22.588817072944302,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0000
1.0,47.0,-21.690211740948662,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,肌耐力
1.0,45.0,23.485995125691808,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,柔軟度
1.0,46.0,-25.353735014337158,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,柔軟度
0.0,26.0,-13.197246138402608,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,心肺
0.0,2557.0,21.240329850727754,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,心肺
